sp,lon,lat
Araucaria.sp,-52.1089,-26.5503
Araucaria.sp,-51.5728,-26.6417
Araucaria.sp,-44.655,-22.0847
Araucaria.sp,-49.3222,-27.8117
Araucaria.sp,-41.8328,-20.4797
Araucaria.sp,-46.6675,-22.6894
Araucaria.sp,-51.1172,-27.7169
Araucaria.sp,-49.9111,-24.1861
Araucaria.sp,-50.2006,-29.3133
Araucaria.sp,-49.3736,-25.5836
Araucaria.sp,-52.9453,-29.1869
Araucaria.sp,-50.2878,-28.9225
Araucaria.sp,-49.6814,-26.2794
Araucaria.sp,-49.6711,-25.5622
Araucaria.sp,-43.7031,-21.1906
Araucaria.sp,-51.3983,-27.8383
Araucaria.sp,-52.5489,-27.5122
Araucaria.sp,-53.95,-26.2078
Araucaria.sp,-51.5189,-26.0964
Araucaria.sp,-44.54,-22.2167
Araucaria.sp,-49.9497,-27.81
Araucaria.sp,-49.1283,-25.1828
Araucaria.sp,-49.6211,-28.3494
Araucaria.sp,-50.5633,-28.4158
Araucaria.sp,-49.59,-27.81
Araucaria.sp,-49.1303,-24.2381
Araucaria.sp,-52.4311,-29.2703
Araucaria.sp,-50.9639,-26.8611
Araucaria.sp,-46.3697,-21.9789
Araucaria.sp,-46.1003,-22.7508
Araucaria.sp,-50.0742,-28.9133
Araucaria.sp,-51.3064,-28.6608
Araucaria.sp,-49.0308,-25.2986
Araucaria.sp,-49.2286,-26.0989
Araucaria.sp,-50.8164,-27.8358
Araucaria.sp,-52.9972,-24.9869
Araucaria.sp,-52.3503,-24.1953
Araucaria.sp,-44.7078,-22.2664
Araucaria.sp,-45.6217,-22.7661
Araucaria.sp,-51.1778,-27.3817
Araucaria.sp,-51.0883,-24.4736
Araucaria.sp,-50.4911,-26.1906
Araucaria.sp,-51.8961,-25.1928
Araucaria.sp,-50.1589,-24.6747
Araucaria.sp,-50.7161,-28.2142
Araucaria.sp,-41.8158,-20.3794
Araucaria.sp,-41.74,-20.4931
Araucaria.sp,-53.6625,-25.0919
Araucaria.sp,-47.0761,-21.2203
Araucaria.sp,-49.8794,-24.8017
Araucaria.sp,-51.5722,-27.0897
Araucaria.sp,-44.9347,-22.0497
Araucaria.sp,-51.2014,-29.0225
Araucaria.sp,-51.0336,-27.9019
Araucaria.sp,-49.59,-27.63
Araucaria.sp,-52.2247,-26.3217
Araucaria.sp,-49.2636,-25.2631
Araucaria.sp,-49.4622,-25.7019
Araucaria.sp,-52.74,-26.955
Araucaria.sp,-52.5197,-25.9892
Araucaria.sp,-50.22,-27.6308
Araucaria.sp,-50.2358,-28.1997
Araucaria.sp,-50.9558,-29.0103
Araucaria.sp,-49.3053,-25.4175
Araucaria.sp,-50.5808,-27.3592
Araucaria.sp,-53.6403,-26.2797
Araucaria.sp,-53.0661,-25.7786
Araucaria.sp,-49.4261,-24.5339
Araucaria.sp,-52.68,-30.4906
Araucaria.sp,-44.1794,-20.6675
Araucaria.sp,-52.265,-27.6347
Araucaria.sp,-51.3881,-27.2697
Araucaria.sp,-51.1686,-28.225
Araucaria.sp,-46.7172,-22.1708
Araucaria.sp,-46.3483,-22.8958
Araucaria.sp,-51.3767,-29.2819
Araucaria.sp,-50.5786,-27.6319
Araucaria.sp,-52.2942,-26.8222
Araucaria.sp,-51.3353,-24.0181
Araucaria.sp,-52.6789,-27.3447
Araucaria.sp,-50.5794,-27.9014
